R00001  Polyphosphate polyphosphohydrolase
R00209  pyruvate:NAD+ 2-oxidoreductase (CoA-acetylating); pyruvate dehydrogenase complex
R00210  pyruvate:NADP+ 2-oxidoreductase (CoA-acetylating)
R00211  pyruvate:oxygen 2-oxidoreductase (CoA-acetylating)
R00212  Acetyl-CoA:formate C-acetyltransferase
R00213  O-carbamoyl-L-serine ammonia-lyase (decarboxylating; pyruvate-forming)
R00214  (S)-malate:NAD+ oxidoreductase (decarboxylating)
R00215  (R)-Malate:NAD+ oxidoreductase (decarboxylating)
R00216  (S)-Malate:NADP+ oxidoreductase(oxaloacetate-decarboxylating)
R00217  oxaloacetate carboxy-lyase (pyruvate-forming)
R00218  acetylenedicarboxylate carboxy-lyase (pyruvate-forming)
R00219  2-Hydroxyethylenedicarboxylate carboxy-lyase (pyruvate-forming)
R00220  L-serine ammonia-lyase
R00221  D-serine ammonia-lyase
R00223  serine ammonia-lyase (pyruvate-forming)
R00224  pyruvate carboxy-lyase (acetaldehyde-forming)
R00226  pyruvate:pyruvate acetaldehydetransferase (decarboxylating); (S)-2-acetolactate pyruvate-lyase (carboxylating)
R00227  Acetyl-CoA hydrolase
R00228  acetaldehyde:NAD+ oxidoreductase (CoA-acetylating)
R00229  Acetate:CoA ligase (ADP-forming)
R00230  acetyl-CoA:phosphate acetyltransferase
R00233  malonyl-CoA carboxy-lyase (acetyl-CoA-forming)
R00234  Acetyl-CoA:peptide Nalpha-acetyltransferase
R00235  Acetate:CoA ligase (AMP-forming)
R00236  acetyl adenylate:CoA acetyltransferase
R00237  (3S)-citramalyl-CoA pyruvate-lyase (acetyl-CoA-forming)
R00238  Acetyl-CoA:acetyl-CoA C-acetyltransferase
R00239  ATP:L-glutamate 5-phosphotransferase
R00241  ATP:L-glutamate 1-phosphotransferase
R00243  L-Glutamate:NAD+ oxidoreductase (deaminating)
R00245  L-Glutamate 5-semialdehyde:NAD+ oxidoreductase
R00248  L-Glutamate:NADP+ oxidoreductase (deaminating)
R00250  L-Glutamate:oxygen oxidoreductase (deaminating)
R00251  5-oxo-L-proline amidohydrolase (ATP-hydrolysing)
R00253  L-Glutamate:ammonia ligase (ADP-forming)
R00254  N-carbamyl-L-glutamate amidohydrolase
R00256  L-Glutamine amidohydrolase
R00257  Deamido-NAD+:L-glutamine amido-ligase (AMP-forming)
R00258  L-Alanine:2-oxoglutarate aminotransferase
R00259  Acetyl-CoA:L-glutamate N-acetyltransferase
R00260  glutamate racemase
R00261  L-glutamate 1-carboxy-lyase (4-aminobutanoate-forming)
R00262  L-threo-3-Methylaspartate carboxy-aminomethylmutase
R00263  L-Glutamate <=> Poly-gamma-D-glutamate
R00264  2,5-dioxopentanoate:NADP+ 5-oxidoreductase
R00265  2-oxoglutarate:NADP+ 2-oxidoreductase (CoA-succinylating)
R00267  Isocitrate:NADP+ oxidoreductase (decarboxylating)
R00268  oxalosuccinate carboxy-lyase (2-oxoglutarate-forming)
R00269  2-Oxoglutaramate amidohydrolase
R00270  2-Oxoglutarate + NH3 <=> 4-Oxoglutaramate + H2O
R00271  acetyl-CoA:2-oxoglutarate C-acetyltransferase (thioester-hydrolysing, carboxymethyl forming)
R00272  2-Oxoglutarate carboxy-lyase
R00273  oxalate:oxygen oxidoreductase
R00274  glutathione:hydrogen-peroxide oxidoreductase
R00275  superoxide:superoxide oxidoreductase
R00276  Carbon-monoxide:oxygen oxidoreductase
R00277  Pyridoxamine-5'-phosphate:oxygen oxidoreductase (deaminating)
R00278  Pyridoxine 5-phosphate:oxygen oxidoreductase
R00279  D-Glutamate:oxygen oxidoreductase (deaminating)
R00280  Nitric-oxide:acceptor oxidoreductase
R00281  NADH:acceptor oxidoreductase
R00282  NADPH:acceptor oxidoreductase
R00283  ammonium:acceptor oxidoreductase (ATP-forming)
R00284  ammonia:acceptor oxidoreductase
R00286  UDP-glucose:NAD+ 6-oxidoreductase
R00287  UDP-glucose glucophosphohydrolase
R00289  UTP:alpha-D-glucose-1-phosphate uridylyltransferase
R00291  UDP-glucose 4-epimerase
R00292  UDP-glucose:glycogen 4-alpha-D-glucosyltransferase
R00293  UDP-glucose 4,6-hydro-lyase (UDP-4-dehydro-6-deoxy-D-glucose-forming)
R00294  nitrous-oxide:acceptor oxidoreductase (NO-forming)
R00295  Trithionate: (acceptor) oxidoreductase
R00296  carbon-monoxide:acceptor oxidoreductase
R00297  (R)-2-hydroxy-acid:acceptor 2-oxidoreductase
R00298  (S)-2-hydroxyglutarate:acceptor 2-oxidoreductase
R00299  ATP:D-glucose 6-phosphotransferase
R00300  D-Glucose:NAD+ 1-oxidoreductase
R00301  D-Glucose:NADP+ 1-oxidoreductase
R00302  D-glucose:oxygen 2-oxidoreductase
R00303  D-Glucose-6-phosphate phosphohydrolase
R00304  D-Glucose-1-phosphate phosphohydrolase
R00305  D-glucose:acceptor 1-oxidoreductase
R00306  cellobiose glucohydrolase
R00307  D-glucose aldose-ketose-isomerase
R00308  1,3-beta-D-Glucan glucanohydrolase
R00310  protoheme ferro-lyase (protoporphyrin-forming)
R00311  Heme, hydrogen-donor:oxygen oxidoreductase (alpha-methylene-oxydizing, hydroxylating)
R00312  Heme <=> Cytochrome a
R00313  Heme <=> Catalase
R00314  Heme <=> Peroxidase
R00315  ATP:acetate phosphotransferase
R00316  ATP:acetate adenylyltransferase
R00317  Acetyl phosphate phosphohydrolase
R00318  Phosphonoacetate phosphonohydrolase
R00319  (S)-lactate:oxygen 2-oxidoreductase (decarboxylating)
R00320  diphosphate:acetate phosphotransferase
R00321  Acetamide amidohydrolase
R00322  5'-acetylphosphoadenosine acetylhydrolase
R00324  2,4-dioxopentanoate acetylhydrolase; Acetylpyruvate acetylhydrolase
R00325  (2S)-2-hydroxy-2-methylbutanedioate pyruvate-lyase (acetate-forming); (3S)-citramalate pyruvate-lyase
R00326  acetaldehyde:acceptor oxidoreductase
R00327  6-Acetyl-D-glucose acetylhydrolase
R00328  GDP phosphohydrolase
R00329  Nucleoside-diphosphate phosphohydrolase
R00330  ATP:GDP phosphotransferase
R00331  ATP:nucleoside-diphosphate phosphotransferase
R00332  ATP:GMP phosphotransferase
R00333  nucleoside-triphosphate:AMP phosphotransferase
R00334  ATP:nucleoside-phosphate phosphotransferase
R00335  GTP phosphohydrolase
R00336  guanosine-3',5'-bis(diphosphate) 3'-diphosphohydrolase
R00337  GDP-glucose glucohydrolase
R00338  Oxaloacetate acetylhydrolase
R00339  (R,R)-tartrate hydro-lyase (oxaloacetate-forming)
R00340  (S,S)-tartrate hydro-lyase (oxaloacetate-forming)
R00341  ATP:oxaloacetate carboxy-lyase (transphosphorylating;phosphoenolpyruvate-forming)
R00342  (S)-malate:NAD+ oxidoreductase
R00343  (S)-Malate:NADP+ oxidoreductase
R00344  Pyruvate:carbon-dioxide ligase (ADP-forming)
R00345  phosphate:oxaloacetate carboxy-lyase (adding phosphate;phosphoenolpyruvate-forming); Orthophosphate:oxaloacetate carboxyl-lyase (phosphorylating)
R00346  diphosphate:oxaloacetate carboxy-lyase (transphosphorylating;phosphoenolpyruvate-forming); Pyrophosphate:oxaloacetate carboxy-lyase (transphosphorylating)
R00347  erythro-3-hydroxy-Ls-aspartate ammonia-lyase (oxaloacetate-forming)
R00348  2-Oxosuccinamate amidohydrolase
R00350  4-carboxy-4-hydroxy-2-oxoadipate oxaloacetate-lyase (pyruvate-forming)
R00351  acetyl-CoA:oxaloacetate C-acetyltransferase (thioester-hydrolysing)
R00352  acetyl-CoA:oxaloacetate C-acetyltransferase [(pro-S)-carboxymethyl-forming, ADP-phosphorylating]
R00353  Malonyl-CoA:pyruvate carboxytransferase
R00354  (3S)-citryl-CoA oxaloacetate-lyase (acetyl-CoA-forming)
R00355  L-Aspartate:2-oxoglutarate aminotransferase
R00357  L-Aspartic acid:oxygen oxidoreductase (deaminating)
R00359  D-Aspartate:oxygen oxidoreductase (deaminating)
R00360  (S)-Malate:oxygen oxidoreductase
R00361  (S)-malate:acceptor oxidoreductase
R00362  citrate oxaloacetate-lyase (forming acetate from the pro-S carboxymethyl group of citrate); Citrate oxaloacetate-lyase ((pro-3S)-CH2COO- -->acetate)
R00363  Oxaloacetate keto-enol-isomerase
R00364  Glycine:ferricytochrome-c oxidoreductase (deaminating)
R00365  glycine:NAD+ oxidoreductase (deaminating)
R00366  glycine:oxygen oxidoreductase (deaminating); Aminoacetic acid:oxygen oxidoreductase (deaminating)
R00367  S-Adenosyl-L-methionine:glycine N-methyltransferase
R00368  N-(carboxymethyl)-D-alanine:NAD+ oxidoreductase (glycine-forming)
R00369  L-Alanine:glyoxylate aminotransferase
R00371  Acetyl-CoA:glycine C-acetyltransferase
R00372  Glycine:2-oxoglutarate aminotransferase
R00373  Glycine:oxaloacetate aminotransferase
R00374  glycine:acceptor oxidoreductase (cyanide-forming)
R00375  Deoxyadenosine 5'-triphosphate:DNA deoxynucleotidyltransferase (DNA-directed)
R00376  Deoxyguanosine 5'-triphosphate:DNA deoxynucleotidyltransferase (DNA-directed)
R00377  Deoxycytidine triphosphate:DNA deoxynucleotidyltransferase (DNA-directed)
R00378  deoxythymidine triphosphate:DNA deoxynucleotidyltransferase (DNA-directed)
R00379  Deoxynucleoside triphosphate:DNA deoxynucleotidyltransferase
R00380  S-Adenosyl-L-methionine:DNA (cytosine-5-)-methyltransferase
R00381  (Deoxyribonucleotide)n:5'-phospho-(deoxyribonucleotide)m ligase (AMP-forming)
R00382  (Deoxyribonucleotide)n:5'-phospho-(deoxyribonucleotide)m ligase (AMP-forming, NMN-forming)
R00383  Acyl-CoA hydrolase
R00384  acyl-CoA:NAD+ trans-2-oxidoreductase
R00385  acyl-CoA:NADP+ 2-oxidoreductase
R00387  acyl-CoA:NADP+ cis-2-oxidoreductase
R00388  Acyl-CoA:oxygen 2-oxidoreductase
R00389  Acid:CoA ligase (AMP-forming)
R00390  Long-chain carboxylate:CoA ligase (AMP-forming)
R00391  Acyl-CoA:acetyl-CoA C-acyltransferase
R00392  Acyl-CoA:acceptor 2,3-oxidoreductase
R00393  Acyl-CoA:acetate CoA-transferase
R00394  Acid:CoA ligase (GDP-forming)
R00395  Acyl-CoA:glycine N-acyltransferase
R00396  L-Alanine:NAD+ oxidoreductase (deaminating)
R00397  L-aspartate 4-carboxy-lyase (L-alanine-forming)
R00398  2,2'-iminodipropanoate:NAD+ oxidoreductase (L-alanine-forming)
R00399  2-amino-4-ketopentanoate thiolase; acetyl-CoA:D-alanine C-acyltransferase
R00400  L-alanine:oxaloacetate aminotransferase
R00401  alanine racemase
R00402  succinate:NAD+ oxidoreductase
R00405  Succinate:CoA ligase (ADP-forming)
R00406  succinyl-CoA:malate CoA-transferase
R00407  Succinyl-CoA hydrolase
R00408  Succinate:(acceptor) oxidoreductase
R00409  (2S,3R)-3-hydroxybutane-1,2,3-tricarboxylate pyruvate-lyase (succinate-forming)
R00410  Succinyl-CoA:acetoacetate CoA-transferase
R00411  N-succinyl-L-glutamate amidohydrolase
R00412  succinate:acceptor oxidoreductase
R00414  UDP-N-acetyl-D-glucosamine 2-epimerase
R00416  UTP:N-acetyl-alpha-D-glucosamine-1-phosphate uridylyltransferase
R00417  UDP-N-acetyl-D-glucosamine:protein beta-N-acetyl-D-glucosaminyltransferase
R00418  UDP-N-acetyl-D-glucosamine 4-epimerase
R00419  UDP-N-acetyl-D-glucosamine <=> Glycoprotein
R00420  UDP-N-acetyl-D-glucosamine 2-epimerase
R00421  UDP-N-acetyl-D-glucosamine:NAD+ 6-oxidoreductase
R00422  UDP-N-acetyl-D-glucosamine <=> Glycolipid
R00423  UDP-N-acetyl-D-glucosamine <=> Mucopolysaccharide
R00424  GTP 7,8-8,9-dihydrolase
R00425  GTP 7,8-8,9-dihydrolase (diphosphate-forming)
R00426  GTP diphosphohydrolase (diphosphate-forming); Guanosine 5'-triphosphate pyrophosphohydrolase
R00428  GTP 8,9-hydrolase
R00429  ATP:GTP 3'-diphosphotransferase
R00430  GTP:pyruvate 2-O-phosphotransferase
R00431  GTP:oxaloacetate carboxy-lyase (adding GTP;phosphoenolpyruvate-forming); GTP:oxaloacetate carboxy-lyase (transphosphorylating)
R00432  Succinate:CoA ligase (GDP-forming)
R00434  GTP diphosphate-lyase (cyclizing; 3',5'-cyclic-GMP-forming)
R00435  ATP:polynucleotide adenylyltransferase; ATP:RNA adenylyltransferase
R00436  polyribonucleotide ligase (cyclizing, AMP-forming)
R00437  polyribonucleotide:phosphate adenylyltransferase
R00438  polyribonucleotide:phosphate uridylyltransferase
R00439  polyribonucleotide:phosphate guanylyltransferase
R00440  polyribonucleotide:phosphate cytidylyltransferase
R00441  GTP:RNA guanylyltransferase (DNA-directed); GTP:RNA guanylyltransferase (RNA-directed)
R00442  CTP:RNA cytidylyltransferase (DNA-directed); CTP:RNA cytidylyltransferase (RNA-directed)
R00443  UTP:RNA uridylyltransferase
R00444  nucleoside-triphosphate:RNA nucleotidyltransferase (DNA-directed); nucleoside-triphosphate:RNA nucleotidyltransferase (RNA-directed)
R00445  L-lysine:NAD+ oxidoreductase (deaminating, cyclizing)
R00446  L-Lysine:NAD+ 6-oxidoreductase (deaminating)
R00447  L-lysine:oxygen 2-oxidoreductase (deaminating)
R00448  L-lysine,NADPH:oxygen oxidoreductase (6-hydroxylating)
R00449  L-Lysine:oxygen 2-oxidoreductase (decarboxylating)
R00451  meso-2,6-diaminoheptanedioate carboxy-lyase (L-lysine-forming)
R00452  N2-(D-1-carboxylethyl)-L-lysine:NADP+ oxidoreductase (L-lysine-forming)
R00453  L-Lysine:pyruvate aminotransferase
R00454  acetyl-CoA:L-lysine N6-acetyltransferase
R00457  L-Lysine:2-oxoglutarate 6-aminotransferase
R00458  N6-acetyl-L-lysine amidohydrolase
R00459  L-Lysine <=> L-Pipecolate
R00460  lysine racemase
R00461  L-Lysine 2,3-aminomutase
R00462  L-lysine carboxy-lyase (cadaverine-forming)
R00463  L-Lysine-1,6-lactam lactamhydrolase
R00465  Glycolate:NADP+ oxidoreductase
R00466  Glyoxylate:oxygen oxidoreductase
R00468  Glyoxylate:NADP+ oxidoreductase (CoA-oxalylating)
R00469  (S)-ureidoglycolate amidohydrolase (decarboxylating)
R00470  4-hydroxy-2-oxoglutarate glyoxylate-lyase (pyruvate-forming)
R00471  D-4-Hydroxy-2-oxoglutarate glyoxylate-lyase
R00472  acetyl-CoA:glyoxylate C-acetyltransferase (thioester-hydrolysing, carboxymethyl-forming); L-Malate glyoxylate-lyase (CoA-acetylating)
R00473  (3S)-3-carboxy-3-hydroxypropanoyl-CoA glyoxylate-lyase (acetyl-CoA-forming)
R00474  2-oxoglutarate:glyoxylate succinaldehydetransferase (decarboxylating); 2-Hydroxy-3-oxoadipate glyoxylate-lyase (carboxylating)
R00475  Glycolate:oxygen 2-oxidoreductase
R00476  glycolate:acceptor 2-oxidoreductase
R00477  3-oxalomalate glyoxylate-lyase (oxaloacetate-forming)
R00478  erythro-3-hydroxy-Ls-aspartate glyoxylate-lyase (glycine-forming)
R00479  isocitrate glyoxylate-lyase (succinate-forming)
R00480  ATP:L-aspartate 4-phosphotransferase
R00481  L-aspartate:oxygen oxidoreductase
R00482  L-Aspartate:ammonia ligase (ADP-forming)
R00483  L-aspartate:ammonia ligase (AMP-forming)
R00484  N-Carbamoyl-L-aspartate amidohydrolase
R00485  L-Asparagine amidohydrolase
R00486  3-Cyano-L-alanine aminohydrolase
R00487  Acetyl-CoA:L-aspartate N-acetyltransferase
R00488  N-Acetyl-L-aspartate amidohydrolase
R00489  L-aspartate 1-carboxy-lyase (beta-alanine-forming)
R00490  L-Aspartate ammonia-lyase
R00491  aspartate racemase
R00493  L-aspartate:2-oxo acid aminotransferase
R00494  glutathione gamma-glutamylaminopeptidase
R00497  gamma-L-glutamyl-L-cysteine:glycine ligase (ADP-forming)
R00499  S-Succinylglutathione hydrolase
R00501  UDP-D-galactose:NAD+ 6-oxidoreductase
R00502  UTP:alpha-D-galactose-1-phosphate uridylyltransferase
R00503  UDP-galactose:D-glucose 4-beta-D-galactosyltransferase
R00504  UDP-galactose:UDP-N-acetyl-D-glucosamine galactose phosphotransferase
R00505  UDP-D-galactopyranose furanomutase
R00506  UDP-galactose:galactan beta-1,4-D-galactosyltransferase
R00507  3'-phosphoadenylyl-sulfate sulfohydrolase; 3'-phosphoadenylyl-sulfate nucleotidohydrolase
